ID,CAUCE,GOOGLE,OPENSTREETMAP,WIKIDATA,COTA_CORON,ALT_CIMIEN
,río lozoya,https://www.google.com/search?kgmid=/g/121_4d1r,,https://www.wikidata.org/wiki/q5830463,906.0,50.5
303.0,arroyo de bajo del castillón,,,,,
,arroyo de mojón,,,,,
,río torina o torino,,,,,
,rambla de ortigosa,,,,697.0,43.0
,río campanillas,https://www.google.com/search?kgmid=/g/120n2j5y,,https://www.wikidata.org/wiki/q5830430,,
,río de la aceña,https://www.google.com/search?kgmid=/g/121_zmv_,https://www.openstreetmap.org/relation/1407214,https://www.wikidata.org/wiki/q11681441,,
,riu cardener,,,,531.5,59.5
626.0,rivera de lacara,,,,,
,río gállego,https://www.google.com/search?kgmid=/g/1229dgd0,,https://www.wikidata.org/wiki/q3377773,1286.59999999999,79.5999999999999
,río guadalmedina,,,,,
397.0,río gállego,,,,541.0,61.0
,rio de la casa o val,,,https://www.wikidata.org/wiki/q95570755,629.149999999999,94.4
,rio guadalentin o sangonera,,,,474.0,78.0
,rio guadalentin o sangonera,,,,476.0,14.0
,rio lacara,https://www.google.com/search?kgmid=/g/11b6x7ykth,https://www.openstreetmap.org/relation/2082226,https://www.wikidata.org/wiki/q18753075,,
,río serpis,,,,320.649999999999,53.0
,río duero,,,https://www.wikidata.org/wiki/q110295650,,
,rivera olivargas,,,,,
341.0,río sil,,,,961.0,71.0
,río tajo,https://www.google.com/search?kgmid=/g/12283wdl,,https://www.wikidata.org/wiki/q8775290,,
,río cañamares,https://www.google.com/search?kgmid=/g/121lswsr,,https://www.wikidata.org/wiki/q5658823,,
654.0,río tambre,,,,249.0,48.0
514.0,río  quiebrajano,,,,,
,arroyo de los albercos,https://www.google.com/search?kgmid=/g/120_4jdm,,https://www.wikidata.org/wiki/q5830377,996.5,70.5
560.0,río nalón,,,,495.0,95.0
,río  castril,,,https://www.wikidata.org/wiki/q11966988,,
,río  víboras,,,,,
381.0,rio ardila,,,,,
,río tuerto,https://www.google.com/search?kgmid=/g/120phcs9,https://www.openstreetmap.org/relation/1386726,https://www.wikidata.org/wiki/q5830589,,
,río tuerto,https://www.google.com/search?kgmid=/g/120phcs9,https://www.openstreetmap.org/relation/1386726,https://www.wikidata.org/wiki/q5830589,,
387.0,,,,,1009.89999999999,6.6
,río ebro,,,,512.799999999999,39.2999999999999
,río guadioloba,https://www.google.com/search?kgmid=/g/11h18yvys4,,https://www.wikidata.org/wiki/q63392467,360.649999999999,31.75
,río aranda,,,https://www.wikidata.org/wiki/q94988427,803.0,21.5
,río aranda,,,https://www.wikidata.org/wiki/q94988427,803.5,53.5
22.0,río mao,,,,476.0,59.0
,río  crispinejo o agrio,,,,,
,río  cubillas,,,https://www.wikidata.org/wiki/q5369439,,
,rio gargaligas,,,,,
,rio turia o guadalaviar,https://www.google.com/search?kgmid=/g/1211pdb5,https://www.openstreetmap.org/relation/7897124,https://www.wikidata.org/wiki/q11681446,978.96,54.0
,río noguera ribagorçana,https://www.google.com/search?kgmid=/g/12353cj_,https://www.openstreetmap.org/relation/7189805,https://www.wikidata.org/wiki/q11940022,1437.5,86.0
,rio arga,https://www.google.com/search?kgmid=/g/11bvtzy7x_,,https://www.wikidata.org/wiki/q12257397,630.0,51.0
,rambla salada,https://www.google.com/search?kgmid=/g/1211r6xt,,https://www.wikidata.org/wiki/q5476272,,
,rambla salada,https://www.google.com/search?kgmid=/g/1211r6xt,,https://www.wikidata.org/wiki/q5476272,,
,río martín,https://www.google.com/search?kgmid=/g/1tc_sbl8,,https://www.wikidata.org/wiki/q85913248,581.929999999999,65.0
58.0,río ordunte,,,,310.0,55.5
19.0,río conselo ou da cenza,,,,1343.5,49.2299999999999
,río  guadiato,,,https://www.wikidata.org/wiki/q5369459,503.0,33.0
,río  guadiato,,,https://www.wikidata.org/wiki/q5369459,503.5,10.25
,río baños,,,https://www.wikidata.org/wiki/q24174597,,
,río  colomera,,,https://www.wikidata.org/wiki/q12164809,,
627.0,rio de la becea,,,,,
,rio jabalon,,,,,
,vertiente por la margen derecha del barranco de la calcina,,,,403.0,17.5
333.0,rio ruecas,,,,,
72.0,río miño,,,,,
,,,,https://www.wikidata.org/wiki/q5369436,,
,río celemín,,,https://www.wikidata.org/wiki/q5369436,,
,rambla de algeciras,,,,,
,río bibei,,,,,
186.0,rivera de gata,,,,,
186.0,rivera de gata,,,,,
186.0,vertiente por la margen izquierda del arroyo de peralejos,,,,,
186.0,rivera de gata,,,,,
186.0,rivera de gata,,,,,
186.0,rivera de gata,,,,,
186.0,rivera de gata,,,,345.5,56.5
,río guadalope,,,https://www.wikidata.org/wiki/q23992526,584.35,50.5
546.0,riu mijares,,,,167.5,58.0
,río lozoya,https://www.google.com/search?kgmid=/g/12221s57,,https://www.wikidata.org/wiki/q2834413,,
,rio guadiana,https://www.google.com/search?kgmid=/g/11fv3ymg__,,https://www.wikidata.org/wiki/q97172835,,
532.0,río sorbe,,,,,
,río lozoya,https://www.google.com/search?kgmid=/g/1217c8ps,,https://www.wikidata.org/wiki/q8775374,955.22,66.2199999999999
29.0,río alagón,,,,312.0,57.0
203.0,río  guadalentín,,,,,
,río ízbor,,,https://www.wikidata.org/wiki/q3374703,,
46.0,río guadalope,,,,443.5,63.5
127.0,río riaza,,,,,
,río jarama,https://www.google.com/search?kgmid=/g/121y9t2q,,https://www.wikidata.org/wiki/q8775322,,
,río jarama,https://www.google.com/search?kgmid=/g/121y9t2q,,https://www.wikidata.org/wiki/q8775322,,
660.0,rivera de huelva,,,,,
,río  fardes,,,https://www.wikidata.org/wiki/q5369442,,
,rivera de meca,,,,,
,río manzanares,https://www.google.com/search?kgmid=/g/121rjkdh,,https://www.wikidata.org/wiki/q5830456,632.0,35.0
300.0,rivera del jarrama,,,,,
,río flumen,https://www.google.com/search?kgmid=/g/11hfgklglc,,https://www.wikidata.org/wiki/q91314392,585.0,86.0
445.0,añarbe ibaia o enobietaku erreka,,,,163.5,79.5
445.0,añarbe ibaia o enobietaku erreka,,,,162.5,7.5
,río tajo,,https://www.openstreetmap.org/relation/5824854,https://www.wikidata.org/wiki/q19428713,,
,barranco de la parada,,,,403.0,14.1
,rio jabalon,,,,,
,río guadyerbas,,,,,
369.0,río  genil,,,,218.25,45.25
,rio matachel,,,,,
,rio mundo,https://www.google.com/search?kgmid=/g/122sg9_l,,https://www.wikidata.org/wiki/q5830460,512.399999999999,46.0
,río de piqueras,https://www.google.com/search?kgmid=/g/122dlpn_,,https://www.wikidata.org/wiki/q8775368,1233.0,73.0
,rio mundo,,,https://www.wikidata.org/wiki/q30908875,357.36,43.5
,río tera,,,,,
659.0,rivera de huelva,,,,,
528.0,río casares,,,,,
,río salado,https://www.google.com/search?kgmid=/g/1217c8pr,,https://www.wikidata.org/wiki/q6429110,,
,río magro,https://www.google.com/search?kgmid=/g/1238s588,,https://www.wikidata.org/wiki/q8775337,389.199999999999,68.4
,río lozoya,https://www.google.com/search?kgmid=/g/12333j1q,,https://www.wikidata.org/wiki/q8775372,,
,río navia,,,,,
487.0,río limia,,,,551.0,48.0
,santa engracia itsasadar,https://www.google.com/search?kgmid=/g/11cn8xwy6q,https://www.openstreetmap.org/relation/27568787,https://www.wikidata.org/wiki/q20894837,548.0,31.0
,,https://www.google.com/search?kgmid=/g/11cn8xwy6q,https://www.openstreetmap.org/relation/27568787,https://www.wikidata.org/wiki/q20894837,548.5,13.5
,río de las cañas o palmones,,,https://www.wikidata.org/wiki/q5830606,,
,rio turia o guadalaviar,https://www.google.com/search?kgmid=/g/120jr2sj,,https://www.wikidata.org/wiki/q8775356,322.5,78.67
5.0,río  corbones,,,,,
,río arlanzón,,,,,
,riu cardener,,,,810.299999999999,122.299999999999
,río guadalope,,,,234.0,56.0
,río tiétar,https://www.google.com/search?kgmid=/g/1hl3g_mwq,,https://www.wikidata.org/wiki/q10929672,308.8,37.5
,arroyo del mojón,https://www.google.com/search?kgmid=/g/1hl3g_mwq,,https://www.wikidata.org/wiki/q10929672,308.8,4.07
,río tajo,,,https://www.wikidata.org/wiki/q81418400,,
,río turón,,,,,
,rio piedra,https://www.google.com/search?kgmid=/g/122v8m7x,,https://www.wikidata.org/wiki/q5830513,687.5,80.5
,riu segre,https://www.google.com/search?kgmid=/g/1215jgc5,,https://www.wikidata.org/wiki/q18005390,520.039999999999,102.0
,río ésera,https://www.google.com/search?kgmid=/g/11cn63j7jr,,https://www.wikidata.org/wiki/q24003136,448.99,65.5
301.0,río salas,,,,835.5,50.0
,río guadarranque,,,https://www.wikidata.org/wiki/q5369445,,
722.0,río arrago,,,,315.05,35.0
722.0,arroyo del campanillo,,,,315.05,6.3
119.0,río avia,,,,267.0,90.0
,río manzanares,,,,,
,río carrión,https://www.google.com/search?kgmid=/g/122z2cqz,,https://www.wikidata.org/wiki/q8775311,,
,río cazunta,https://www.google.com/search?kgmid=/g/121zv9ty,,https://www.wikidata.org/wiki/q8775334,190.0,78.0
,río  cacín,,,https://www.wikidata.org/wiki/q579709,,
,el llobregat,,,,632.35,102.349999999999
,río jerte,,,,372.5,42.5
430.0,río adaja,,,,,
60.0,rivera de cala,,,,,
69.0,río piedras,,,,,
,río miño,,,,90.0,30.0
,el còrrec,,,https://www.wikidata.org/wiki/q7131952,160.0,8.3
,la muga,,,https://www.wikidata.org/wiki/q7131952,160.0,4.72
,río navea,,,https://www.wikidata.org/wiki/q101897658,911.5,85.0
,río  retortillo,,,https://www.wikidata.org/wiki/q5369454,,
,río verde,,,,,
