ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG,CODIGO,NOMBRE,EMBALSE,X,Y,DEMARC,PROVINCIA,CCAA,TIPO,INFORME
95.0,cuencas internas de cataluña,riudecanyes,5.0,0.0,10430005,riudecanyes,riudecanyes,41.133459546,0.958540952000021,cuencas internas de cataluña,tarragona,cataluña,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2918
52.0,ebro,urdalur,6.0,0.0,9310030,urdalur,urdalur,42.916911187,-2.23343148499993,ebro,navarra,comunidad foral de navarra,presa de fábrica de gravedad (hormigón compactado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2742
,,,,,2470004,san jose,san jose,41.403921299,-5.27303186899996,duero,valladolid,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=453
,,,,,4060008,boqueron,boqueron,39.1511076260001,-6.41827824299997,guadiana,badajoz,extremadura,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=937
,,,,,7300002,jose bautista,jose bautista,37.8754537890001,-1.31662193299996,segura,murcia,región de murcia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2038
,,,,,7300003,jose bautista,jose bautista,37.8776016350001,-1.32124601899994,segura,murcia,región de murcia,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2039
,,,,,1320034,san pedro,san pedro reservoir,42.4527079760001,-7.71396403899996,miño-sil,lugo,galicia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=119
,,,,,4160004,campos del paraiso,campos del paraiso,39.974474851,-2.73818245399997,guadiana,cuenca,castilla - la mancha,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1205
,,,,,2370033,villagonzalo,villagonzalo reservoir,40.8732344370001,-5.49557555299998,duero,salamanca,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=393
,,,,,8120004,"regajo, el","regajo, el",39.8898591060001,-0.524556912999969,jucar,castelló/castellón,comunitat valenciana,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2260
216.0,guadiana,cubilar,10.0,0.0,4100026,cubilar,cubilar,39.237347379,-5.47071172699998,guadiana,cáceres,extremadura,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1075
,,,,,5140001,malpasillo jauja,malpasillo jauja,37.2991506870001,-4.67681989599993,guadalquivir,córdoba,andalucía,presa de fábrica de contrafuertes,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1423
,,,,,3450004,"portiña, la","la portiña reservoir, talavera de la reina",39.996548874,-4.84137628499997,tajo,toledo,castilla - la mancha,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=861
,,,,,14360007,caldas de reis,caldas de reis,42.608002556,-8.61626161099997,galicia-costa,pontevedra,galicia,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=3112
733.0,júcar,algar,6.0,0.0,8460012,algar,algar,39.787914266,-0.37682482699995,jucar,valència/valencia,comunitat valenciana,presa mixta,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2307
529.0,duero,serones,6.0,0.0,2050003,serones,serones,40.6897420190001,-4.47398559699997,duero,ávila,castilla y león,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=210
562.0,guadalquivir,aguascebas,6.0,0.0,5230013,aguascebas,aguascebas,38.0435042350001,-2.95222543699992,guadalquivir,jaén,andalucía,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1549
,,,,,8120011,ulldecona,ulldecona dam,40.670915209,0.233962578000046,jucar,castelló/castellón,comunitat valenciana,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2266
133.0,tajo,navacerrada,11.0,0.0,3280050,navacerrada,navacerrada,40.7150019000001,-4.00500334299994,tajo,madrid,comunidad de madrid,presa de fábrica de gravedad (hormigón vibrado),https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=827
,,,,,7300037,valdeinfierno,embalse de valdeinfierno,37.8054910990001,-1.96467018699997,segura,murcia,región de murcia,presa de fábrica de arco-gravedad,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2073
